"Open Time E T","Side","Qty Open","Symbol","Description","Avg Price Open","Qty Closed","Closed Time E T","Avg Price Closed","D D As Pcnt","D D As Dlr","Drawdown Time E T","D D Quant","D D Worst Price","Trade P L","Equity"
"2020-05-05 10:26:26","SHORT",12,"USDCHF","USDCHF",0.9706,12,"2020-05-08 10:48:14",0.9696,-1.53,-955,"2020-05-07 00:00:00",12,0.9784,128,62699
"2020-05-06 18:09:13","SHORT",12,"USDCAD","USDCAD",1.4152,12,"2020-05-07 08:47:47",1.4068,-0.29,-179,"2020-05-06 18:59:00",12,1.4173,712,62571
"2020-05-04 12:34:55","SHORT",12,"AUDNZD","AUDNZD",1.0636,12,"2020-05-04 16:27:36",1.0617,-0.1,-65,"2020-05-04 14:22:00",12,1.0644,137,61859
"2020-04-13 13:17:31","SHORT",18,"AUDNZD","AUDNZD",1.06,18,"2020-05-01 16:27:22",1.0599,-1.9,-1172,"2020-04-28 00:00:00",12,1.0752,18,61722
"2020-04-27 14:14:05","SHORT",24,"CADCHF","CADCHF",0.6942,24,"2020-04-30 13:54:04",0.6923,-3.43,-2102,"2020-04-30 00:35:00",24,0.7032,486,61704
"2020-04-23 11:19:07","SHORT",12,"CADCHF","CADCHF",0.6929,12,"2020-04-24 10:19:06",0.6909,-0.53,-325,"2020-04-24 00:00:00",12,0.6957,249,61218
"2020-04-22 09:50:14","SHORT",6,"USDJPY","USDJPY",107.892,6,"2020-04-23 10:10:20",107.6625,-0.14,-85,"2020-04-23 00:00:00",6,108.045,128,60969
"2020-04-21 11:52:04","SHORT",6,"EURGBP","EURGBP",0.8843,6,"2020-04-22 02:14:14",0.882,-0.25,-149,"2020-04-21 12:15:00",6,0.8863,171,60841
"2020-02-26 10:49:14","SHORT",250,"EURAUD","EURAUD",1.6641,250,"2020-04-09 13:31:13",1.8706,-85.81,-332386,"2020-03-18 00:00:00",245,1.8951,-326694,60670
"2020-03-15 18:34:36","SHORT",50,"USDCAD","USDCAD",1.3858,50,"2020-03-18 21:59:57",1.464,-6.53,-27031,"2020-03-18 13:08:00",50,1.465,-26698,387364
"2020-03-11 21:01:06","SHORT",100,"USDCAD","USDCAD",1.3776,100,"2020-03-12 13:11:03",1.3717,-3.24,-13264,"2020-03-12 00:00:00",100,1.3962,4305,414062
"2020-03-11 11:08:07","SHORT",100,"NZDCAD","NZDCAD",0.8685,100,"2020-03-11 11:48:09",0.8637,0,0,"2020-03-11 11:08:07",100,0,3522,409757
"2020-03-10 14:21:32","SHORT",100,"USDCAD","USDCAD",1.3758,100,"2020-03-10 15:15:27",1.3719,-0.14,-555,"2020-03-10 14:28:00",100,1.3765,2839,406235
"2020-03-05 16:34:35","SHORT",100,"GBPUSD","GBPUSD",1.296,100,"2020-03-10 11:54:49",1.2962,-5.85,-23595,"2020-03-09 00:00:00",100,1.32,-222,403396
"2020-03-04 13:36:18","SHORT",150,"USDCAD","USDCAD",1.3405,150,"2020-03-04 16:46:43",1.3387,-0.14,-565,"2020-03-04 13:42:00",150,1.341,2034,403618
