"Open Time ET","Side","Qty Open","Symbol","Descrip","Avg Price Open","Qty Closed","Closed Time ET","Avg Price Closed","DD as %","DD $","DD Time ET","DD Quant","DD Worst Price","Trade P/L"
"2020-05-05 10:26:26","SHORT","12","USD/CHF","USD/CHF","0.9706","12","2020-05-08 10:48:14","0.9696","-2.09","-960.00","2020-05-07 00:00:00","12","0.9784","128.00"
"2020-05-06 18:09:13","SHORT","12","USD/CAD","USD/CAD","1.4152","12","2020-05-07 08:47:47","1.4068","-0.39","-179.78","2020-05-06 18:59:00","12","1.4173","712.00"
"2020-05-04 12:34:55","SHORT","12","AUD/NZD","AUD/NZD","1.0636","12","2020-05-04 16:27:36","1.0617","-0.13","-59.90","2020-05-04 14:22:00","12","1.0644","137.00"
"2020-04-13 13:17:31","SHORT","18","AUD/NZD","AUD/NZD","1.0600","18","2020-05-01 16:27:22","1.0599","-3.45","-1532.41","2020-04-28 00:00:00","12","1.0752","18.00"
"2020-04-27 14:14:05","SHORT","24","CAD/CHF","CAD/CHF","0.6942","24","2020-04-30 13:54:04","0.6923","-5.25","-2241.45","2020-04-30 00:35:00","24","0.7032","486.00"
"2020-04-23 11:19:07","SHORT","12","CAD/CHF","CAD/CHF","0.6929","12","2020-04-24 10:19:06","0.6909","-0.76","-340.10","2020-04-24 00:00:00","12","0.6957","249.00"
"2020-04-22 09:50:14","SHORT","6","USD/JPY","USD/JPY","107.8920","6","2020-04-23 10:10:20","107.6625","-0.19","-85.35","2020-04-23 00:00:00","6","108.0450","128.00"
"2020-04-21 11:52:04","SHORT","6","EUR/GBP","EUR/GBP","0.8843","6","2020-04-22 02:14:14","0.8820","-0.32","-145.49","2020-04-21 12:15:00","6","0.8863","171.00"
"2020-02-26 10:49:14","SHORT","250","EUR/AUD","EUR/AUD","1.6641","250","2020-04-09 13:31:13","1.8706","-242.53","-326483.00","2020-03-18 00:00:00","245","1.8951","-326694.00"
"2020-03-15 18:34:36","SHORT","50","USD/CAD","USD/CAD","1.3858","50","2020-03-18 21:59:57","1.4640","-36.09","-27277.00","2020-03-18 13:08:00","50","1.4650","-26698.00"
"2020-03-11 21:01:06","SHORT","100","USD/CAD","USD/CAD","1.3776","100","2020-03-12 13:11:03","1.3717","-5.26","-13299.10","2020-03-12 00:00:00","100","1.3962","4305.00"
"2020-03-11 11:08:07","SHORT","100","NZD/CAD","NZD/CAD","0.8685","100","2020-03-11 11:48:09","0.8637","0.00","0.00","2020-03-11 11:08:07","","0.0000","3522.00"
"2020-03-10 14:21:32","SHORT","100","USD/CAD","USD/CAD","1.3758","100","2020-03-10 15:15:27","1.3719","-0.21","-556.59","2020-03-10 14:28:00","100","1.3765","2839.00"
"2020-03-05 16:34:35","SHORT","100","GBP/USD","GBP/USD","1.2960","100","2020-03-10 11:54:49","1.2962","-10.21","-24028.00","2020-03-09 00:00:00","100","1.3200","-222.00"
"2020-03-04 13:36:18","SHORT","150","USD/CAD","USD/CAD","1.3405","150","2020-03-04 16:46:43","1.3387","-0.16","-565.95","2020-03-04 13:42:00","150","1.3410","2034.00"
"2020-03-03 13:51:50","SHORT","100","AUD/CAD","AUD/CAD","0.8825","100","2020-03-03 17:00:23","0.8806","-0.12","-383.25","2020-03-03 14:43:00","100","0.8831","1485.00"
"2020-03-03 10:38:35","SHORT","100","AUD/CAD","AUD/CAD","0.8847","100","2020-03-03 11:11:44","0.8822","-0.13","-426.58","2020-03-03 10:43:00","100","0.8853","1931.00"
"2020-03-02 08:59:08","SHORT","100","USD/CAD","USD/CAD","1.3379","100","2020-03-03 10:05:54","1.3329","-0.37","-1148.56","2020-03-02 11:03:00","100","1.3395","3741.00"
"2020-02-27 11:12:34","SHORT","150","USD/CAD","USD/CAD","1.3358","150","2020-03-01 22:11:57","1.3337","-3.57","-11884.30","2020-02-28 00:00:00","150","1.3464","2410.00"
